vendor,current_price,old_price,product_name,month
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,6
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,7
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,10.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,8
Metro,9.99,11.99,Artichoke And Herb Organic Dairy-Free Fermented Cash...,9
